,Cluster Labels,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
254,29,"Lake View East, Chicago, IL",41.9399723,-87.6492748,Coffee Shop,Sandwich Place,Sushi Restaurant,Japanese Restaurant,Spa,Vegetarian / Vegan Restaurant,Gay Bar,Bakery,Café,Diner
255,29,"Lake View, Chicago, IL",41.9397814,-87.6589273,Pizza Place,Performing Arts Venue,Sports Bar,Music Venue,Gym / Fitness Center,Bakery,Fish & Chips Shop,Japanese Restaurant,Sandwich Place,Martial Arts Dojo
256,27,"Lake West, Dallas, TX",32.7863775,-96.86122050000002,Mexican Restaurant,Bar,Fast Food Restaurant,Convenience Store,Taco Place,Dive Bar,Clothing Store,Pizza Place,Discount Store,Art Gallery
257,29,"Lakewood / Balmoral, Chicago, IL",41.9799008,-87.6624815,Sushi Restaurant,Asian Restaurant,Pet Store,Pizza Place,Vietnamese Restaurant,Mexican Restaurant,Southern / Soul Food Restaurant,Burger Joint,Coffee Shop,Sandwich Place
258,29,"Lakewood Heights, Dallas, TX",32.8207219,-96.7574289,Pizza Place,Coffee Shop,Playground,Breakfast Spot,Donut Shop,Food,Recreation Center,Discount Store,Men's Store,Bagel Shop
259,21,"Lakewood Trails, Dallas, TX",32.8258159,-96.72946929999999,Mexican Restaurant,Italian Restaurant,Coffee Shop,Grocery Store,Bar,Dive Bar,Dessert Shop,Gym / Fitness Center,American Restaurant,Mediterranean Restaurant
260,29,"Lakewood, Dallas, TX",32.83455,-96.74280519999999,Mexican Restaurant,Sporting Goods Shop,American Restaurant,Trail,Grocery Store,Soccer Field,Sandwich Place,Restaurant,Bakery,Dessert Shop
261,21,"Lakewood, Jacksonville, FL",30.2635999,-81.6391263,Coffee Shop,American Restaurant,Sandwich Place,Café,Mexican Restaurant,BBQ Joint,Park,Thai Restaurant,Brewery,Italian Restaurant
262,0,"LeClaire Courts, Chicago, IL",41.8103445,-87.7499524,Parking,Construction & Landscaping,Hot Dog Joint,Business Service,Park,Flea Market,Eastern European Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service
263,7,"Ledbetter Gardens, Dallas, TX",32.6912208,-96.87313929999999,Liquor Store,Convenience Store,Business Service,Athletics & Sports,Smoke Shop,Dive Bar,Opera House,Pharmacy,Recreation Center,Mexican Restaurant
264,13,"Legends South (Robert Taylor Homes), Chicago, IL",41.80919799999999,-87.6285506,Park,Train Station,Bus Station,Department Store,Fast Food Restaurant,Adult Boutique,Food,Entertainment Service,Empanada Restaurant,Ethiopian Restaurant
265,21,"Liberty Station, San Diego, CA",32.7348386,-117.216182,Coffee Shop,Burger Joint,Gym / Fitness Center,Italian Restaurant,Mexican Restaurant,Hotel,Bakery,American Restaurant,New American Restaurant,Art Gallery
266,0,"Lilydale, Chicago, IL",41.7242009,-87.625326,Discount Store,Food,Child Care Service,Chinese Restaurant,Currency Exchange,Park,Donut Shop,Clothing Store,Bus Station,Eye Doctor
267,21,"Lincoln Park, Chicago, IL",41.9254701,-87.64877829999999,Bar,Sandwich Place,Coffee Shop,Pizza Place,Mexican Restaurant,Sushi Restaurant,Gym,Music Venue,Theater,Vietnamese Restaurant
268,10,"Lincoln Park, San Diego, CA",32.7029707,-117.0882341,Golf Course,Park,Bar,Lake,Farm,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space
269,21,"Lincoln Square, Chicago, IL",41.9686816,-87.6889648,Bar,Coffee Shop,Thai Restaurant,Sandwich Place,Italian Restaurant,Pizza Place,Café,Gym,Gym / Fitness Center,Pub
270,23,"Linda Vista, San Diego, CA",32.791569,-117.1676501,Vietnamese Restaurant,Pizza Place,Fast Food Restaurant,Thai Restaurant,Food & Drink Shop,Massage Studio,Frozen Yogurt Shop,Mexican Restaurant,Fried Chicken Joint,ATM
271,14,"Lithuanian Plaza, Chicago, IL",41.7669896,-87.6873889,Fast Food Restaurant,Intersection,Food,Rental Car Location,Chinese Restaurant,Park,Sandwich Place,Discount Store,Cafeteria,Video Game Store
272,0,"Little Forest Hills, Dallas, TX",32.8219799,-96.7079287,Garden,Park,Lake,Scenic Lookout,Botanical Garden,Café,Taco Place,Plaza,Museum,Gym
273,23,"Little Italy, Chicago, IL",41.86954009999999,-87.6511328,Sandwich Place,Pizza Place,Italian Restaurant,Thai Restaurant,Bookstore,Fast Food Restaurant,Convenience Store,Theater,Bar,Bank
274,21,"Little Italy, San Diego, CA",32.7241496,-117.1683853,Italian Restaurant,Coffee Shop,American Restaurant,Hotel,Wine Bar,New American Restaurant,Brewery,Mexican Restaurant,Pizza Place,Convenience Store
275,27,"Little Village, Chicago, IL",41.8445273,-87.7050446,Mexican Restaurant,Nightclub,Taco Place,Fast Food Restaurant,Mobile Phone Shop,Pharmacy,Restaurant,Sandwich Place,Gas Station,Food
276,21,"LoMac, Dallas, TX",32.7766642,-96.79698789999999,Mexican Restaurant,American Restaurant,Bar,Coffee Shop,Gift Shop,Italian Restaurant,Gastropub,Dessert Shop,Sandwich Place,Taco Place
277,29,"Lochwood, Dallas, TX",32.8522436,-96.6932198,Garden,Bakery,Fast Food Restaurant,American Restaurant,Bank,Botanical Garden,Pharmacy,BBQ Joint,Italian Restaurant,Restaurant
278,27,"Logan Heights, San Diego, CA",32.698614,-117.1294166,Mexican Restaurant,Fast Food Restaurant,Coffee Shop,Chinese Restaurant,Southern / Soul Food Restaurant,Sandwich Place,Taco Place,Fried Chicken Joint,BBQ Joint,Gift Shop
279,29,"Logan Square, Chicago, IL",41.9230598,-87.70929079999999,Rental Car Location,Bar,Pizza Place,Park,Latin American Restaurant,Sports Bar,Thai Restaurant,Caribbean Restaurant,Coffee Shop,Gym / Fitness Center
280,21,"Loma Portal, San Diego, CA",32.743939,-117.2189246,Coffee Shop,Italian Restaurant,American Restaurant,Gym / Fitness Center,Burger Joint,Diner,Wings Joint,Gym,Grocery Store,Bakery
281,27,"Lomita, San Diego, CA",32.7086637,-117.0286388,Mexican Restaurant,Coffee Shop,Cosmetics Shop,Light Rail Station,Pizza Place,Fried Chicken Joint,Juice Bar,Asian Restaurant,Taco Place,Gym / Fitness Center
282,22,"Longwood Manor, Chicago, IL",41.7176094,-87.6455543,Cosmetics Shop,Intersection,Nightclub,Gas Station,Chinese Restaurant,Fast Food Restaurant,Donut Shop,Sandwich Place,Fried Chicken Joint,American Restaurant
283,21,"Los Altos, Dallas, TX",32.9563714,-96.80686879999999,American Restaurant,Coffee Shop,Burger Joint,Mexican Restaurant,Salon / Barbershop,Cocktail Bar,Thai Restaurant,Japanese Restaurant,Seafood Restaurant,New American Restaurant
284,22,"Love Field, Dallas, TX",32.8481029,-96.8512063,Convenience Store,Video Store,Fast Food Restaurant,Gas Station,Pizza Place,Burger Joint,Fried Chicken Joint,Seafood Restaurant,Chinese Restaurant,Donut Shop
285,29,"Lower Greenville, Dallas, TX",32.8238594,-96.76797739999999,Mexican Restaurant,Fast Food Restaurant,Pizza Place,Park,Department Store,BBQ Joint,Burger Joint,Sporting Goods Shop,Flea Market,Rental Car Location
286,29,"Lower Waller Creek, Austin, TX",30.2943866,-97.7281024,Sandwich Place,Food Truck,Park,Mexican Restaurant,Intersection,Fast Food Restaurant,Coffee Shop,Pub,Bus Station,History Museum
287,27,"Lower West Side, Chicago, IL",41.8523331,-87.6660157,Mexican Restaurant,Pizza Place,Bakery,Business Service,Bar,Brewery,Flower Shop,Convenience Store,Supermarket,Music Venue
288,21,"Magnificent Mile, Chicago, IL",41.894809,-87.6242142,Clothing Store,Hotel,American Restaurant,Italian Restaurant,Department Store,Pizza Place,Cosmetics Shop,New American Restaurant,Gastropub,Steakhouse
289,23,"Magnolia Park, Dallas, TX",32.8404737,-96.7753199,Pizza Place,American Restaurant,Gym / Fitness Center,Discount Store,Grocery Store,Pharmacy,Fast Food Restaurant,Greek Restaurant,Coffee Shop,Salon / Barbershop
290,21,"Main Street District, Dallas, TX",32.7813791,-96.7969224,Hotel,Coffee Shop,Park,Cocktail Bar,American Restaurant,Gym,Mexican Restaurant,Steakhouse,Plaza,Bakery
291,23,"Mandarin, Jacksonville, FL",30.1527497,-81.65282189999999,Pizza Place,Grocery Store,Seafood Restaurant,Fast Food Restaurant,Gym,Italian Restaurant,Restaurant,Mexican Restaurant,Ice Cream Shop,Coffee Shop
292,0,"Margate Park, Chicago, IL",41.97208800000001,-87.64977429999999,Soccer Field,Baseball Field,Scenic Lookout,Park,Pharmacy,Vietnamese Restaurant,Mexican Restaurant,Gay Bar,Bus Station,Beach
293,22,"Marietta, Jacksonville, FL",30.3343974,-81.8024796,Discount Store,Gas Station,Sandwich Place,Grocery Store,Hotel,Fast Food Restaurant,Fried Chicken Joint,BBQ Joint,Chinese Restaurant,Pizza Place
294,21,"Marina), San Diego, CA",32.7115629,-117.1674021,Hotel,American Restaurant,Coffee Shop,Seafood Restaurant,Mexican Restaurant,Park,New American Restaurant,Hotel Bar,Italian Restaurant,Bar
295,7,"Marquette Park, Chicago, IL",41.7656499,-87.69907309999999,Liquor Store,Park,Convenience Store,Soccer Field,Metro Station,Farm,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
296,27,"Marshall Square, Chicago, IL",41.8478965,-87.6953228,Mexican Restaurant,Fried Chicken Joint,Burrito Place,Intersection,Bakery,Sandwich Place,Discount Store,Playground,Football Stadium,Event Space
297,14,"Marynook, Chicago, IL",41.7392485,-87.5927138,Fast Food Restaurant,Grocery Store,Park,Sandwich Place,Athletics & Sports,Caribbean Restaurant,Optical Shop,Jazz Club,Seafood Restaurant,Supermarket
298,29,"Mayfair, Chicago, IL",41.9645046,-87.73712880000001,Middle Eastern Restaurant,Pub,Jewelry Store,Brewery,Bus Station,Fried Chicken Joint,Mediterranean Restaurant,Seafood Restaurant,Thrift / Vintage Store,Automotive Shop
299,29,"McKinley Park, Chicago, IL",41.8316175,-87.6729074,Diner,Grocery Store,Mexican Restaurant,Chinese Restaurant,Baseball Field,Gas Station,Coffee Shop,Discount Store,Big Box Store,Video Game Store
300,29,"Melshire Estates, Dallas, TX",32.9145645,-96.8094222,Mexican Restaurant,Ice Cream Shop,Coffee Shop,American Restaurant,Clothing Store,Boutique,Bakery,Park,Grocery Store,Spa
301,29,"Memorial, San Diego, CA",32.6735426,-117.2425191,Lighthouse,Exhibit,Trail,Tourist Information Center,Monument / Landmark,Bookstore,National Park,Nature Preserve,Falafel Restaurant,Fabric Shop
302,21,"Merchant Park, Chicago, IL",41.945622,-87.7331909,Thai Restaurant,Karaoke Bar,Asian Restaurant,Mexican Restaurant,Italian Restaurant,Latin American Restaurant,Gym,Lounge,Locksmith,Bar
303,29,"Merriman Park Estates, Dallas, TX",32.857621,-96.756542,Vietnamese Restaurant,Chinese Restaurant,Sandwich Place,Grocery Store,ATM,Soccer Field,Bar,Seafood Restaurant,Bakery,Donut Shop
304,29,"Merriman Park North, Dallas, TX",32.8795914,-96.7398448,Pizza Place,Breakfast Spot,Fast Food Restaurant,Discount Store,Convenience Store,Pet Store,Coffee Shop,Video Store,Miscellaneous Shop,Gas Station
305,26,"Middletown, San Diego, CA",32.7389307,-117.1750019,Rental Car Location,Lounge,Bar,Airport Service,Café,Pub,Dive Bar,Grocery Store,Trail,Train Station
306,26,"Midtown, San Diego, CA",32.7389307,-117.1750019,Rental Car Location,Lounge,Bar,Airport Service,Café,Pub,Dive Bar,Grocery Store,Trail,Train Station
307,10,"Mill City, Dallas, TX",32.7748819,-96.7375465,Outdoors & Recreation,Fried Chicken Joint,Nightclub,Zoo Exhibit,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
308,29,"Mira Mesa, San Diego, CA",32.9184763,-117.1382404,Seafood Restaurant,Ice Cream Shop,Vietnamese Restaurant,Dessert Shop,Bakery,Grocery Store,BBQ Joint,Bank,Thai Restaurant,Fast Food Restaurant
309,25,"Mission Beach, San Diego, CA",32.7706526,-117.2514447,Beach,Harbor / Marina,Bar,Park,Sandwich Place,Pizza Place,Theme Park,Sushi Restaurant,Coffee Shop,Taco Place
310,21,"Mission Hills, San Diego, CA",32.7489663,-117.1823534,Mexican Restaurant,Spa,Furniture / Home Store,Sushi Restaurant,Hotel,Bar,Liquor Store,Skate Park,Farmers Market,Boutique
311,21,"Mission Valley East, San Diego, CA",32.7742488,-117.1411815,Clothing Store,Cosmetics Shop,Coffee Shop,Department Store,American Restaurant,Boutique,Women's Store,Furniture / Home Store,Jewelry Store,Toy / Game Store
312,21,"Mission Valley West, San Diego, CA",32.7605837,-117.1719689,Clothing Store,Hotel,Cosmetics Shop,Shoe Store,Coffee Shop,American Restaurant,Department Store,Boutique,Women's Store,Pizza Place
313,27,"Montclare, Chicago, IL",41.929382,-87.7981597,Fast Food Restaurant,Financial or Legal Service,Pizza Place,Mexican Restaurant,Zoo Exhibit,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space
314,22,"Monterey Gardens, Dallas, TX",32.8097639,-96.7943354,Fried Chicken Joint,Gas Station,Park,Discount Store,Fast Food Restaurant,Lake,Diner,Outdoor Supply Store,Golf Course,Event Space
315,29,"Morena, San Diego, CA",32.767107,-117.1941153,Gym,Sandwich Place,Coffee Shop,Furniture / Home Store,Pizza Place,Flower Shop,Bar,Food,Convenience Store,Dance Studio
316,13,"Morgan Park, Chicago, IL",41.6875296,-87.6691646,Park,Train Station,Currency Exchange,Farm,Eastern European Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service
317,23,"Moss Farm, Dallas, TX",32.8961063,-96.7420468,Fast Food Restaurant,Pizza Place,Convenience Store,Thai Restaurant,Coffee Shop,Grocery Store,Bank,Burger Joint,Thrift / Vintage Store,Sandwich Place
318,29,"Moss Meadows, Dallas, TX",32.8874667,-96.74351109999999,Pizza Place,Coffee Shop,Breakfast Spot,Pet Store,Park,Sandwich Place,Supermarket,Gym / Fitness Center,Dog Run,Bank
319,0,"Mount Greenwood, Chicago, IL",41.6931221,-87.71235469999999,Ice Cream Shop,Deli / Bodega,Sports Bar,Gym,Performing Arts Venue,Park,Cupcake Shop,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant
320,23,"Mount Hope, San Diego, CA",32.713178,-117.111768,Sandwich Place,Convenience Store,Rental Service,Shopping Mall,Theater,Liquor Store,Bank,Grocery Store,Gym / Fitness Center,Food
321,25,"Mountain View, San Diego, CA",32.7027235,-117.111768,Liquor Store,Mexican Restaurant,Food Truck,Intersection,Thrift / Vintage Store,Park,Sandwich Place,Pet Store,Taco Place,Food
322,21,"Muncie, Dallas, TX",32.7750195,-96.8369596,Mexican Restaurant,American Restaurant,Dessert Shop,Seafood Restaurant,Coffee Shop,Pizza Place,Cocktail Bar,Park,Gym,Bar
323,21,"Munger Place Historic District, Dallas, TX",32.7988527,-96.76523,Mexican Restaurant,American Restaurant,Sushi Restaurant,Coffee Shop,Pizza Place,Taco Place,Wine Bar,Thai Restaurant,Spa,Dessert Shop
324,25,"Museum Campus, Chicago, IL",41.8650661,-87.6140253,Harbor / Marina,Aquarium,History Museum,Football Stadium,Museum,Bus Station,Athletics & Sports,Boat or Ferry,Gift Shop,Sporting Goods Shop
325,29,"Navajo (Allied Gardens, San Diego, CA",32.8032027,-117.0333504,Trail,Liquor Store,Donut Shop,Taco Place,Café,Gym / Fitness Center,Golf Course,Mountain,Smoothie Shop,Ethiopian Restaurant
326,21,"Near North Side, Chicago, IL",41.90391,-87.6314629,Gym / Fitness Center,Italian Restaurant,Coffee Shop,Café,Gym,Bar,Steakhouse,Restaurant,Playground,Park
327,29,"Near West Side, Chicago, IL",41.8810644,-87.663045,Sports Bar,Restaurant,Park,Yoga Studio,Donut Shop,Locksmith,Auditorium,Coffee Shop,Dog Run,Gastropub
328,29,"Nestor, San Diego, CA",32.568316,-117.0823502,Clothing Store,Fast Food Restaurant,Border Crossing,Shoe Store,Sporting Goods Shop,Café,Grocery Store,Mexican Restaurant,Hotel,Outlet Mall
329,29,"New Chinatown, Chicago, IL",41.8526575,-87.6323585,Chinese Restaurant,Asian Restaurant,Dessert Shop,Korean Restaurant,Bakery,Dim Sum Restaurant,Tea Room,Train Station,Dance Studio,Bubble Tea Shop
330,29,"New City, Chicago, IL",41.8066775,-87.6679765,Chinese Restaurant,Korean Restaurant,Asian Restaurant,Dessert Shop,Dim Sum Restaurant,Tea Room,Bakery,Hotpot Restaurant,Plaza,Mobile Phone Shop
331,29,"Noble Square, Chicago, IL",41.8993311,-87.6638512,Vietnamese Restaurant,Chinese Restaurant,Bus Station,Grocery Store,Bubble Tea Shop,Supermarket,Thai Restaurant,Pharmacy,Pizza Place,Bakery
332,29,"Normal Heights, San Diego, CA",32.7588402,-117.117651,Coffee Shop,Pizza Place,Grocery Store,Ice Cream Shop,Mexican Restaurant,Bar,Park,Beer Bar,ATM,Pharmacy
333,21,"Normandy, Jacksonville, FL",30.3115825,-81.7415075,Sandwich Place,Coffee Shop,Breakfast Spot,Pizza Place,Bar,American Restaurant,BBQ Joint,Grocery Store,Sushi Restaurant,Park
334,5,"North Austin, Chicago, IL",41.9093812,-87.7657445,Mexican Restaurant,Bank,Pizza Place,Liquor Store,Shoe Store,Video Store,Fried Chicken Joint,Clothing Store,Discount Store,Grocery Store
335,29,"North City, San Diego, CA",32.9732376,-117.2382163,Trail,Stables,National Park,Arts & Crafts Store,Farm,Zoo Exhibit,Farmers Market,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
336,22,"North Halsted, Chicago, IL",41.9160828,-87.6484419,Fast Food Restaurant,Discount Store,Cosmetics Shop,Chinese Restaurant,Grocery Store,Gas Station,Mexican Restaurant,Fried Chicken Joint,Food,Park
337,29,"North Kenwood, Chicago, IL",41.8132628,-87.5992004,Bus Station,Pizza Place,Fast Food Restaurant,Coffee Shop,Cosmetics Shop,Convenience Store,Bank,Sandwich Place,French Restaurant,Paper / Office Supplies Store
338,21,"North Lawndale, Chicago, IL",41.8589782,-87.7152017,Cosmetics Shop,Sushi Restaurant,Italian Restaurant,Spa,Theater,Dessert Shop,Coffee Shop,Boutique,Bar,American Restaurant
339,13,"North Mayfair, Chicago, IL",41.971802,-87.7373866,Park,Clothing Store,Jewelry Store,Grocery Store,African Restaurant,Boutique,Art Gallery,Restaurant,Health & Beauty Service,Department Store
340,7,"North Park, Chicago, IL",41.9828479,-87.72844289999999,BBQ Joint,Seafood Restaurant,Convenience Store,Construction & Landscaping,Fast Food Restaurant,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space
341,21,"North Park, San Diego, CA",32.7456484,-117.1294166,Coffee Shop,Brewery,Pizza Place,Café,Breakfast Spot,Mexican Restaurant,Bar,Gym / Fitness Center,Thai Restaurant,Sushi Restaurant
342,21,"North Stonewall Terrace, Dallas, TX",32.7846067,-96.7611149,Mexican Restaurant,Burger Joint,Bar,Gym / Fitness Center,Sushi Restaurant,New American Restaurant,Pizza Place,Dessert Shop,Breakfast Spot,Italian Restaurant
343,29,"North University, Austin, TX",30.2976841,-97.73759629999999,Burger Joint,Food Truck,Pizza Place,Coffee Shop,Sandwich Place,Thrift / Vintage Store,Clothing Store,Bar,Thai Restaurant,Convenience Store
344,23,"Northwood Heights, Dallas, TX",32.8696285,-96.7939316,Vietnamese Restaurant,Pizza Place,Chinese Restaurant,Convenience Store,Grocery Store,Sandwich Place,Video Store,Coffee Shop,Donut Shop,Noodle House
345,29,"Northwood Hills, Dallas, TX",32.9375122,-96.7733299,American Restaurant,Bakery,Cupcake Shop,Seafood Restaurant,Liquor Store,Juice Bar,Café,Shoe Store,Sandwich Place,Salad Place
346,7,"Nortown, Chicago, IL",41.91047,-87.66064999999999,Middle Eastern Restaurant,Mexican Restaurant,Convenience Store,Park,Cuban Restaurant,Currency Exchange,Rental Car Location,American Restaurant,Gym,Exhibit
347,13,"Norwood Park East, Chicago, IL",41.9930188,-87.7896583,Gymnastics Gym,Department Store,Kitchen Supply Store,Park,Zoo Exhibit,Farm,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
348,21,"O'Hare, Chicago, IL",41.9772983,-87.8368909,Moving Target,Breakfast Spot,Food Court,Coffee Shop,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
349,23,"Oak Highlands, Dallas, TX",32.8901451,-96.7045777,Fast Food Restaurant,Pizza Place,Convenience Store,Thai Restaurant,Coffee Shop,Grocery Store,Light Rail Station,Bank,Sandwich Place,Thrift / Vintage Store
350,22,"Oak Lawn, Dallas, TX",32.8096731,-96.80299930000001,Discount Store,Dry Cleaner,Golf Course,Pizza Place,Department Store,Salon / Barbershop,Pawn Shop,Clothing Store,Gym / Fitness Center,Gym
351,7,"Oak Park, San Diego, CA",32.7358786,-117.0797097,Thai Restaurant,Smoke Shop,Burrito Place,Convenience Store,Trail,Jewelry Store,Theater,Taco Place,Fabric Shop,Eye Doctor
352,29,"Oakland, Chicago, IL",41.8226995,-87.60135679999999,Bar,Sandwich Place,Italian Restaurant,Shipping Store,Bank,Market,Salon / Barbershop,Automotive Shop,Donut Shop,Coffee Shop
353,0,"Oakmont Heights, Austin, TX",30.3117223,-97.75457259999999,Sandwich Place,Park,Gym,Italian Restaurant,Café,Coffee Shop,Pizza Place,Grocery Store,Bakery,Gift Shop
354,21,"Ocean Beach, San Diego, CA",32.7494988,-117.2470353,Café,Coffee Shop,Brewery,Mexican Restaurant,Bar,Breakfast Spot,Dog Run,Beach,Pizza Place,Deli / Bodega
355,29,"Ocean View Hills, San Diego, CA",32.5761395,-117.0146736,Mexican Restaurant,Coffee Shop,Fast Food Restaurant,Wings Joint,Pizza Place,Convenience Store,Sandwich Place,Bike Trail,Bank,Gas Station
356,29,"Oceanway, Jacksonville, FL",30.4669049,-81.6323187,Pizza Place,Sandwich Place,Pharmacy,American Restaurant,Seafood Restaurant,BBQ Joint,Discount Store,Steakhouse,Donut Shop,Coffee Shop
357,21,"Old East Dallas, Dallas, TX",32.7993095,-96.77647999999999,Bar,Mexican Restaurant,Pizza Place,New American Restaurant,Coffee Shop,French Restaurant,American Restaurant,Grocery Store,Furniture / Home Store,Pub
358,13,"Old Edgebrook, Chicago, IL",41.9948018,-87.76768659999999,Beach,Park,Eastern European Restaurant,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Eye Doctor
359,29,"Old Enfield, Austin, TX",30.2877953,-97.76733139999999,Trail,Harbor / Marina,Vegetarian / Vegan Restaurant,Dry Cleaner,Bank,Thrift / Vintage Store,Golf Course,Park,Grocery Store,Shoe Store
360,20,"Old Irving Park, Chicago, IL",41.95354589999999,-87.7380684,Home Service,Food,Convenience Store,Pool,Intersection,Eastern European Restaurant,Dive Bar,American Restaurant,Zoo Exhibit,Fabric Shop
361,27,"Old Lake Highlands, Dallas, TX",32.856998,-96.7092661,Mexican Restaurant,Bar,Fast Food Restaurant,Dive Bar,Pizza Place,Theme Park Ride / Attraction,Gym / Fitness Center,Art Gallery,Taco Place,Convenience Store
362,0,"Old Norwood, Chicago, IL",41.9880826,-87.8029213,Sandwich Place,Park,Vietnamese Restaurant,Spa,Bus Station,Gas Station,Golf Course,Salon / Barbershop,Trail,Train Station
363,21,"Old Pecan Street, Austin, TX",30.267068,-97.739335,Hotel,Bar,Cocktail Bar,Nightclub,Coffee Shop,Movie Theater,Food Truck,Lounge,Steakhouse,Taco Place
364,0,"Old Town Triangle, Chicago, IL",41.9111206,-87.63980070000001,Park,Clothing Store,History Museum,Gym,Juice Bar,Dog Run,Hobby Shop,Diner,Exhibit,Eye Doctor
365,29,"Old Town, Chicago, IL",41.9111206,-87.63980070000001,Bar,Sandwich Place,Pizza Place,Gym,Coffee Shop,Taco Place,Diner,Chinese Restaurant,Bike Rental / Bike Share,Donut Shop
366,27,"Old Town, San Diego, CA",32.7542167,-117.1969793,Mexican Restaurant,Hotel,History Museum,Italian Restaurant,Gift Shop,Ice Cream Shop,Hobby Shop,Café,Smoke Shop,Sandwich Place
367,8,"Old West Austin, Austin, TX",30.2954625,-97.7551352,Park,Food Truck,Sushi Restaurant,Yoga Studio,Tennis Court,Tanning Salon,Outdoor Sculpture,Community Center,Garden Center,Spa
368,29,"Original Austin, Austin, TX",30.4144742,-97.6892577,Bank,Video Store,Park,Breakfast Spot,Fast Food Restaurant,Gas Station,Pharmacy,Sandwich Place,Korean Restaurant,BBQ Joint
369,29,"Original West University, Austin, TX",30.29122619999999,-97.7415429,Food Truck,Burger Joint,Mexican Restaurant,Taco Place,Coffee Shop,Music Venue,Student Center,Bar,Clothing Store,Sandwich Place
370,21,"Oriole Park, Chicago, IL",41.9761141,-87.8169157,Bar,Comedy Club,Sandwich Place,Mexican Restaurant,Theater,Italian Restaurant,Gym,Gourmet Shop,American Restaurant,Boutique
371,29,"Ortega, Jacksonville, FL",30.2662687,-81.7034734,Sandwich Place,Bakery,Breakfast Spot,Park,Seafood Restaurant,Coffee Shop,Pizza Place,Japanese Restaurant,Grocery Store,American Restaurant
372,7,"Otay Mesa, San Diego, CA",32.5594732,-116.9734685,Gas Station,Convenience Store,Mexican Restaurant,Video Store,Diner,Road,Park,Smoke Shop,Soccer Field,Fast Food Restaurant
373,0,"Otay Mesa West, San Diego, CA",32.5757091,-117.0617553,Gym,Pool,Dog Run,Fast Food Restaurant,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
374,22,"Owenwood, Dallas, TX",32.7878914,-96.7413706,Fast Food Restaurant,Fried Chicken Joint,Discount Store,Convenience Store,Pizza Place,Gas Station,Video Game Store,Burger Joint,Mexican Restaurant,Big Box Store
375,29,"Pacific Beach, San Diego, CA",32.8024577,-117.2355851,Mexican Restaurant,Coffee Shop,Ice Cream Shop,Sandwich Place,Dive Bar,Italian Restaurant,Pizza Place,Breakfast Spot,Gym,Chinese Restaurant
376,29,"Pacific Highlands Ranch, San Diego, CA",32.9637053,-117.1955855,Theater,Italian Restaurant,Pharmacy,Ice Cream Shop,Restaurant,Breakfast Spot,Football Stadium,Gastropub,Basketball Stadium,Basketball Court
377,21,"Palmer Square, Chicago, IL",41.9210705,-87.70048229999999,Bar,Comedy Club,Sandwich Place,Mexican Restaurant,Theater,Italian Restaurant,Gym,Gourmet Shop,American Restaurant,Boutique
378,27,"Paradise Hills, San Diego, CA",32.6784307,-117.058813,Mexican Restaurant,Shipping Store,Grocery Store,Intersection,Food Court,Business Service,Optical Shop,Marijuana Dispensary,Liquor Store,BBQ Joint
379,18,"Park Manor, Chicago, IL",41.7656921,-87.61525089999999,Pub,Supermarket,Gym,Speakeasy,Zoo Exhibit,Farm,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
380,29,"Park West, Chicago, IL",41.9289391,-87.64412659999999,Mexican Restaurant,Cocktail Bar,Coffee Shop,Pizza Place,Convenience Store,Bar,Ice Cream Shop,Brewery,Gym / Fitness Center,Café
381,21,"Parkdale, Dallas, TX",32.7721888,-96.7199658,Coffee Shop,American Restaurant,Gay Bar,Thai Restaurant,Seafood Restaurant,Sushi Restaurant,Mexican Restaurant,Pizza Place,Burger Joint,Café
382,14,"Parkview, Chicago, IL",41.9493237,-87.72175109999999,Fast Food Restaurant,Lounge,Currency Exchange,Seafood Restaurant,Convenience Store,Park,Intersection,Spa,Caribbean Restaurant,Exhibit
383,21,"Paxon, Jacksonville, FL",30.33858219999999,-81.7376778,Sandwich Place,Coffee Shop,Pizza Place,BBQ Joint,Grocery Store,Bar,Breakfast Spot,Brewery,American Restaurant,Sushi Restaurant
